iteration,mean_speedup,geo_mean_speedup,min_speedup,max_speedup,queries_improved,total_queries
1,1.1728885124881891,1.140479378855596,0.7411179062066812,2.8201449828309806,88,109
2,1.621094058928117,1.1981319428589372,0.8981173582090369,47.559403381820864,90,109
3,1.7299548380694847,1.2338088825901607,0.9678309668823718,55.473872815391395,102,109
4,2.15492178514694,1.3595906458731777,0.813187264198487,67.15678500076841,98,109
5,1.1645443311602128,1.1355700479387365,0.8863329624533383,3.2212022107461604,97,109
6,1.1403022277228336,1.1209762112519837,0.9215293484192476,2.295564212113596,90,109
7,1.1452280073334953,1.1221885394061948,0.8303560417475506,3.0753545805804765,91,109
8,2.4337663119276116,1.505239302463951,0.8387469799268245,58.16187468343116,99,109
9,1.4594464881449292,1.162267976307707,0.9011127920202796,35.15369809504939,90,109
10,1.0796243594017076,1.0706092588672713,0.7941189118069428,1.8695264311566495,83,109
11,1.0970892969713713,1.0874051761955648,0.925086977945678,1.9868910350731697,96,109
12,1.1329442257365094,1.1082637614929023,0.970657833704172,4.149181220338716,101,109
13,1.0813838731509562,1.0724337762845866,0.9058197515483888,1.9236758101035596,93,109
14,2.110117255559661,1.324771072356533,0.742705814387452,63.28257956947628,90,109
15,2.42783116639563,1.4990265638602174,0.9216746644031132,54.33820882088209,98,109
