iteration,mean_speedup,geo_mean_speedup,min_speedup,max_speedup,queries_improved,total_queries
1,1.1331640615265288,1.1169319857111963,0.9340494638969564,2.2192032094896024,100,109
2,1.1202173519746992,1.09870460834644,0.804898761617888,2.318292224193859,89,109
3,1.105432008148999,1.0881894221146193,0.8460557214062617,2.311283316575123,83,109
4,1.1096107820833467,1.092557672859531,0.8293343645673222,2.3578033918102426,91,109
5,1.1022147455064581,1.0845094340491863,0.8156928138450098,2.3706113617590185,87,109
6,1.1034629599125472,1.0859608198889568,0.7727859533670678,2.3424166458665683,86,109
7,1.108428173873259,1.0925227028452296,0.8167601325274471,2.367333526766115,90,109
8,1.117299965815712,1.0955847014371092,0.8101659882310759,2.670256036992636,88,109
9,1.1067931340192727,1.0896426788631646,0.8065692857577477,2.3871608370448345,89,109
10,1.103093764198023,1.0862064408165395,0.8351424010669722,2.57751690836921,89,109
11,1.110638416932379,1.0917957394125242,0.8554084378024611,2.283606128168371,86,109
12,1.1018649678928911,1.0840538511566689,0.7400049391069411,2.392258842331039,87,109
13,1.0988529748528064,1.0821964696779438,0.8467391681480589,2.316053430243908,91,109
14,1.1162980740249666,1.0967420399660799,0.8564242483310277,2.317831432409283,91,109
15,1.1162218502715258,1.0957179537241375,0.8376872234462074,2.3876279546432,89,109
