iteration,mean_speedup,geo_mean_speedup,min_speedup,max_speedup,queries_improved,total_queries
1,1.129024060477472,1.113995069814521,0.8074500808121904,2.199834789558163,99,109
2,1.1330912286890866,1.1104669171152979,0.8591235087116985,2.395564639163708,90,109
3,1.1301996278531607,1.0965963595529573,0.690984522256142,4.513700298690872,86,109
4,1.1039893943777095,1.0847599784752293,0.7966396653866206,2.250839799604527,87,109
5,1.9090386013883416,1.4103591694876423,0.8834958902390407,44.60932257438372,102,109
6,2.025520127720833,1.4282937677011953,0.8345888544512566,50.314453516688154,96,109
7,2.462923766490867,1.5951599963252492,0.7443306101892009,48.26937205333642,94,109
8,2.456524093313212,1.5936401787190304,0.8118285041030849,53.0876943193375,103,109
9,2.5322808837753454,1.700777911748178,0.8201218980639224,49.19797936371453,99,109
10,2.639467518726668,1.7200743474789775,0.8635010151690504,51.30162118502279,99,109
11,2.1023834724770087,1.3275441816299962,0.9356451548130598,53.923293557471766,92,109
12,1.0501864011659807,1.0418136286902158,0.7812354552894709,1.7292570386538832,84,109
13,1.0483930356295013,1.0401983766674543,0.7580871800750667,1.7463143101215244,85,109
14,1.0420641439846188,0.9912657484914932,0.0035185646733746,1.7042044109143974,83,109
15,1.0464638992716386,1.0388395801067338,0.8235750187419942,1.727124641914284,81,109
