iteration,mean_speedup,geo_mean_speedup,min_speedup,max_speedup,queries_improved,total_queries
1,2.8300044247619027,1.0537203004856845,0.0055505792946036,190.64162110409495,86,109
2,1.1667490567727825,1.084142687552818,0.006799013063825,5.339792903861122,98,109
3,1.1250552713875577,1.1114029068959597,0.9462784249784756,2.2670024196656375,101,109
4,2.180797171902216,1.1318913106669022,0.0020189967320501,98.7823633698402,97,109
5,6.41227385442561,1.2914501359213182,0.9190840922340832,346.5137612384165,100,109
6,1.1371236640199018,1.0727425928723182,0.0122571967787902,3.755961160852695,90,109
7,1.1142798136120446,1.0581983525475338,0.0055297611306796,2.2120500043853064,99,109
8,1.121562535531814,1.1042434468831555,0.9537634277443016,2.306216597081062,97,109
9,2.4850616933529213,1.1617462887705887,0.9597795237764138,149.34952094864065,100,109
10,3.9454697945301267,1.172806205522072,0.9335387081997252,307.68273375096805,95,109
11,1.1456843534303136,1.0738331205263687,0.0069172997719197,3.915371714443884,93,109
12,2.3115977415420472,1.4538365939063265,0.4032784864273959,56.735210178964266,99,109
13,1.4899939882533566,1.1480997586646702,0.0956679880934844,37.49381062986747,92,109
14,1.4543941651007122,1.2534951529968539,0.8348180723679193,21.649750735012145,88,109
15,2.422522826577608,1.5186607105835155,0.9332688526060248,55.970256200280765,100,109
